Tiempo: 0.6242s, Fecha: 2017-06-28 22:42:50, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 164
Tiempo: 0.0027s, Fecha: 2017-06-28 17:43:57, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 160
Tiempo: 0.0034s, Fecha: 2017-06-28 17:43:57, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 160
Tiempo: 0.0022s, Fecha: 2017-06-28 17:43:57, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 160
Tiempo: 0.0018s, Fecha: 2017-06-28 17:43:57, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 160
Tiempo: 0.0023s, Fecha: 2017-06-28 17:43:57, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 160
Tiempo: 0.0021s, Fecha: 2017-06-28 17:43:57, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 160
Tiempo: 0.6260s, Fecha: 2017-06-28 22:43:59, H: localhost, File: /var/www/html/minha/core/functions.php, L: 39
Tiempo: 0.6263s, Fecha: 2017-06-28 22:43:59, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 160
Tiempo: 0.6642s, Fecha: 2017-06-28 22:44:05, H: localhost, File: /var/www/html/minha/core/functions.php, L: 39
Tiempo: 0.6646s, Fecha: 2017-06-28 22:44:05, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 160
Tiempo: 0.0023s, Fecha: 2017-06-28 17:45:21, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 160
Tiempo: 0.0870s, Fecha: 2017-06-28 17:45:21, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 160
Tiempo: 0.0054s, Fecha: 2017-06-28 17:45:21, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 160
Tiempo: 0.0018s, Fecha: 2017-06-28 17:45:21, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 160
Tiempo: 0.0030s, Fecha: 2017-06-28 17:45:21, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 160
Tiempo: 0.0032s, Fecha: 2017-06-28 17:45:21, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 160
Tiempo: 0.6222s, Fecha: 2017-06-28 22:45:24, H: localhost, File: /var/www/html/minha/core/functions.php, L: 39
Tiempo: 0.6350s, Fecha: 2017-06-28 22:45:24, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 160
